部署,等級,勤続年数,月間残業時間,エンゲージメント,退職
製造,G2,8.6,27.1,65.7,在籍
人事,G1,3.6,14.0,69.4,在籍
製造,G3,6.8,36.4,53.6,在籍
製造,G2,2.4,13.3,73.3,在籍
営業,G1,0.6,24.6,65.8,在籍
営業,G2,9.1,27.1,66.1,退職
製造,G3,16.9,24.4,73.6,在籍
人事,G1,6.3,29.6,72.2,在籍
営業,G2,4.9,38.9,67.2,在籍
開発,G1,5.8,37.9,66.8,在籍
製造,G2,13.3,9.0,76.1,在籍
営業,G1,6.3,40.0,57.6,退職
開発,G1,9.5,37.4,56.2,在籍
人事,G2,9.2,40.4,58.1,在籍
製造,G2,11.2,15.8,74.4,在籍
営業,G1,4.8,14.4,67.1,在籍
人事,G1,3.4,25.6,68.2,在籍
開発,G1,8.0,52.3,49.6,在籍
人事,G3,10.7,31.0,54.8,在籍
営業,G2,12.1,31.4,73.6,在籍
製造,G3,14.4,15.6,71.7,在籍
開発,G3,10.0,60.5,47.5,在籍
営業,G1,3.2,20.7,61.5,在籍
人事,G1,6.3,18.0,74.9,在籍
営業,G2,5.9,39.9,72.1,在籍
営業,G1,5.4,11.6,71.4,退職
開発,G3,8.0,55.2,53.9,在籍
製造,G2,4.5,30.5,73.7,在籍
製造,G1,4.5,31.9,51.4,在籍
経理,G4,17.6,34.9,82.3,在籍
営業,G2,5.0,31.8,83.5,在籍
開発,G2,11.2,27.9,48.5,在籍
営業,G3,11.6,33.7,65.6,在籍
製造,G1,6.4,11.3,69.5,在籍
経理,G1,4.6,29.3,64.2,在籍
製造,G1,2.5,30.9,61.7,在籍
製造,G1,1.0,38.2,67.2,退職
開発,G3,8.4,45.3,59.3,在籍
経理,G2,7.2,35.8,57.2,在籍
開発,G1,9.3,34.7,63.9,在籍
営業,G1,3.6,26.7,70.9,在籍
開発,G4,18.8,48.0,53.2,在籍
営業,G3,7.7,30.9,54.0,在籍
営業,G2,4.9,36.6,78.0,在籍
営業,G1,0.5,20.3,64.2,在籍
開発,G2,3.9,29.9,64.7,在籍
製造,G2,9.6,30.6,64.1,在籍
開発,G3,14.2,51.0,63.4,在籍
開発,G1,5.5,27.2,80.7,在籍
経理,G4,15.7,36.2,70.8,在籍
製造,G1,2.3,16.1,60.0,在籍
開発,G2,7.4,39.8,51.9,在籍
営業,G1,7.5,47.6,55.8,退職
人事,G2,8.4,36.5,62.1,在籍
営業,G3,6.1,44.0,47.1,在籍
開発,G1,7.1,59.0,59.7,在籍
人事,G1,2.3,18.3,62.3,在籍
開発,G3,13.2,30.4,79.5,在籍
製造,G3,10.4,17.3,87.0,在籍
製造,G1,6.9,19.2,69.6,在籍
製造,G1,10.6,0.0,84.5,在籍
営業,G2,13.5,31.3,58.7,在籍
営業,G3,8.3,29.2,72.0,在籍
開発,G4,20.1,51.4,57.2,在籍
営業,G2,8.9,37.5,55.6,在籍
人事,G1,2.6,19.4,67.9,在籍
営業,G1,6.6,38.5,59.2,在籍
製造,G4,10.9,34.8,63.2,退職
製造,G3,13.5,16.7,81.7,在籍
製造,G1,6.2,16.6,66.5,在籍
開発,G2,2.4,15.1,84.9,在籍
開発,G1,4.6,26.0,57.7,在籍
経理,G1,1.5,15.8,83.4,在籍
製造,G2,9.5,24.4,62.2,退職
製造,G1,3.9,11.6,73.9,在籍
人事,G1,3.0,20.4,66.1,在籍
製造,G4,10.2,13.3,72.5,在籍
営業,G3,15.5,37.1,72.0,在籍
製造,G1,3.0,26.7,78.1,在籍
営業,G2,6.3,38.0,71.7,在籍
製造,G1,4.7,22.1,66.4,退職
経理,G3,14.0,10.2,79.0,在籍
開発,G2,5.2,32.8,58.9,退職
開発,G1,2.2,33.5,56.1,退職
営業,G1,5.4,27.6,58.6,在籍
経理,G3,12.0,28.0,65.7,退職
営業,G1,4.5,47.7,59.8,在籍
営業,G1,3.3,40.9,46.2,退職
営業,G4,5.0,25.9,67.5,在籍
営業,G1,2.3,39.5,72.3,在籍
開発,G1,4.7,45.0,67.6,在籍
開発,G1,3.5,29.1,61.5,在籍
開発,G4,22.6,52.1,50.8,在籍
営業,G1,0.7,30.2,68.1,在籍
営業,G1,2.6,16.5,54.0,在籍
開発,G2,3.3,44.6,67.2,在籍
営業,G1,2.3,34.4,61.6,退職
製造,G2,7.4,21.1,84.5,在籍
営業,G1,2.9,31.6,51.7,在籍
開発,G2,1.3,31.7,71.0,在籍
開発,G1,5.8,44.7,58.9,在籍
開発,G2,4.3,39.1,59.2,在籍
営業,G2,3.1,35.4,52.7,退職
営業,G3,13.7,39.1,69.0,在籍
人事,G1,7.6,13.3,79.4,在籍
営業,G2,7.0,23.8,82.8,在籍
開発,G1,7.7,13.7,81.7,在籍
開発,G2,7.4,45.8,55.2,在籍
開発,G1,4.5,24.7,60.7,在籍
開発,G1,3.0,39.5,50.9,在籍
製造,G2,5.9,27.7,78.4,在籍
人事,G1,4.4,32.6,58.8,在籍
営業,G1,0.7,18.8,80.9,在籍
開発,G1,2.1,37.3,65.8,在籍
営業,G1,4.0,50.4,59.0,退職
開発,G2,10.3,58.5,52.5,在籍
製造,G1,6.0,32.9,70.0,在籍
営業,G1,2.5,35.7,62.6,在籍
開発,G1,1.9,26.9,63.7,在籍
経理,G2,11.9,33.5,71.7,在籍
営業,G1,4.6,30.3,64.7,在籍
開発,G1,0.3,44.2,52.2,在籍
製造,G1,4.9,15.0,77.2,在籍
営業,G1,8.8,30.1,66.6,在籍
営業,G1,1.9,33.8,67.0,在籍
営業,G2,5.6,36.3,59.9,在籍
経理,G1,6.0,29.4,57.5,在籍
営業,G1,2.0,25.6,80.1,在籍
営業,G4,12.6,22.0,83.5,在籍
営業,G2,6.1,51.5,63.3,在籍
営業,G1,3.9,59.4,49.6,退職
製造,G1,4.7,26.9,65.0,在籍
営業,G1,1.6,17.4,81.0,在籍
製造,G1,1.6,13.5,69.7,在籍
製造,G2,3.6,29.2,61.2,在籍
人事,G1,3.8,40.8,74.9,在籍
営業,G1,4.4,18.7,70.6,在籍
人事,G3,13.4,27.8,82.8,在籍
製造,G3,8.5,27.4,57.7,在籍
営業,G1,0.8,41.5,63.5,在籍
製造,G2,11.7,19.8,88.1,在籍
人事,G1,3.6,8.8,75.3,在籍
営業,G3,9.1,42.0,59.8,在籍
経理,G2,3.9,38.0,53.3,在籍
開発,G1,5.8,37.1,71.2,在籍
製造,G1,1.8,26.5,60.8,在籍
経理,G2,6.8,20.4,70.2,在籍
開発,G2,9.8,30.3,58.1,在籍
製造,G1,1.1,33.3,75.0,在籍
開発,G4,9.9,47.1,68.5,在籍
製造,G1,2.9,27.4,66.3,在籍
製造,G4,16.3,43.3,54.8,在籍
営業,G1,9.2,20.4,83.1,在籍
開発,G2,8.1,33.5,62.6,在籍
開発,G1,4.7,39.7,53.2,退職
営業,G4,25.3,30.6,58.6,在籍
営業,G2,3.6,42.2,55.3,在籍
開発,G1,2.2,35.9,51.6,在籍
営業,G2,3.0,22.7,64.0,在籍
営業,G2,11.1,34.3,71.5,在籍
製造,G2,5.7,25.5,65.4,在籍
製造,G1,5.1,32.3,67.7,在籍
製造,G1,3.7,26.3,61.8,在籍
開発,G1,4.9,43.1,60.6,在籍
人事,G1,3.5,29.5,80.2,在籍
製造,G2,8.6,21.5,68.3,在籍
営業,G1,4.3,24.1,71.3,在籍
営業,G1,3.1,35.2,51.4,在籍
製造,G1,10.4,18.3,84.3,在籍
営業,G1,2.2,50.6,52.3,在籍
開発,G1,5.8,52.8,63.9,在籍
経理,G1,0.7,31.0,63.4,在籍
営業,G2,1.4,37.8,66.0,在籍
営業,G1,4.0,31.0,70.3,在籍
経理,G2,3.4,11.7,70.4,退職
製造,G1,3.4,19.6,78.4,在籍
営業,G2,9.2,34.7,59.5,在籍
人事,G2,9.6,30.1,73.2,在籍
人事,G1,6.7,31.2,63.0,在籍
開発,G2,2.1,49.7,58.9,在籍
製造,G1,4.9,14.4,69.5,在籍
営業,G4,17.9,29.3,70.6,在籍
営業,G4,23.7,52.8,53.3,在籍
製造,G2,10.5,32.1,68.6,在籍
営業,G1,2.2,27.7,66.5,在籍
製造,G2,4.9,22.4,65.3,在籍
人事,G2,6.3,26.5,67.6,在籍
営業,G2,5.7,33.9,65.4,在籍
製造,G3,11.3,30.4,63.1,在籍
営業,G3,9.0,63.1,51.3,在籍
人事,G1,2.1,28.1,58.4,退職
営業,G1,3.2,39.3,78.9,退職
製造,G2,10.5,5.0,86.8,在籍
製造,G2,13.7,18.3,75.9,在籍
開発,G2,6.4,53.1,64.8,在籍
製造,G3,14.8,29.6,54.3,在籍
製造,G1,5.9,0.0,60.6,在籍
製造,G1,2.4,29.4,62.5,在籍
製造,G1,8.4,43.1,50.8,在籍
経理,G5,30.6,8.4,81.6,在籍
開発,G1,1.6,54.7,55.4,在籍
開発,G3,14.5,10.7,84.4,在籍
営業,G2,8.1,43.9,52.1,在籍
製造,G3,3.0,25.1,70.6,在籍
開発,G1,0.7,12.2,72.9,在籍
開発,G1,0.4,42.9,61.4,退職
営業,G2,3.4,46.3,54.3,退職
人事,G1,7.1,30.0,77.0,在籍
開発,G1,9.9,44.4,60.2,在籍
製造,G3,11.6,20.7,85.5,在籍
営業,G1,6.7,11.5,68.9,在籍
経理,G1,5.9,31.6,71.1,在籍
営業,G1,4.1,51.2,55.7,在籍
営業,G2,7.3,46.0,57.0,在籍
人事,G1,3.0,4.1,81.8,在籍
経理,G1,1.7,7.3,73.0,在籍
営業,G1,5.7,22.7,49.5,退職
開発,G3,9.4,23.7,47.2,在籍
製造,G1,1.4,22.5,77.8,在籍
人事,G1,3.4,30.3,74.6,在籍
開発,G1,5.5,22.3,83.8,在籍
開発,G1,5.4,46.5,58.5,退職
製造,G2,7.9,30.2,57.1,在籍
製造,G4,17.6,20.8,70.8,在籍
製造,G3,0.4,23.3,67.7,在籍
製造,G3,18.1,3.8,74.2,在籍
営業,G3,17.0,31.5,81.3,在籍
人事,G2,10.1,27.7,85.4,在籍
人事,G2,6.3,29.5,70.2,在籍
製造,G1,3.1,26.2,67.1,在籍
営業,G2,10.0,36.3,55.0,在籍
営業,G2,6.6,30.7,77.8,退職
製造,G1,4.1,25.1,68.5,在籍
営業,G3,9.8,46.2,58.0,在籍
経理,G3,11.0,26.1,73.1,在籍
開発,G3,13.6,44.7,57.6,在籍
製造,G1,2.8,20.0,71.0,在籍
人事,G5,12.5,25.3,59.5,在籍
開発,G1,4.2,43.8,67.7,退職
開発,G2,6.3,33.5,64.0,在籍
製造,G1,7.3,26.2,77.1,退職
製造,G4,11.8,27.1,67.8,在籍
開発,G3,9.1,37.9,62.7,退職
製造,G1,4.1,18.4,61.9,在籍
経理,G1,0.5,18.4,75.6,在籍
開発,G2,7.8,21.5,64.1,在籍
営業,G1,6.1,36.2,59.9,在籍
開発,G1,1.6,40.5,60.2,在籍
開発,G2,6.7,48.9,58.9,退職
営業,G2,5.5,27.8,54.4,在籍
営業,G3,13.5,56.0,55.1,在籍
製造,G4,18.9,22.6,79.5,在籍
開発,G2,10.8,30.0,64.9,在籍
経理,G1,5.2,13.1,72.0,在籍
営業,G1,5.8,12.9,75.2,在籍
営業,G2,2.7,50.5,55.2,在籍
製造,G1,3.2,37.1,54.5,在籍
人事,G2,5.0,34.2,63.8,在籍
営業,G1,4.6,22.1,76.9,在籍
営業,G2,1.5,53.5,46.5,在籍
営業,G2,13.6,29.7,65.9,在籍
開発,G2,14.9,36.6,55.6,在籍
開発,G2,13.3,55.4,64.1,退職
営業,G3,15.3,42.4,62.8,在籍
営業,G3,22.6,59.4,51.7,在籍
開発,G1,2.8,40.7,61.2,退職
経理,G2,21.9,21.2,66.0,在籍
製造,G1,4.1,15.3,64.6,在籍
開発,G2,8.7,19.3,61.0,在籍
営業,G1,1.2,28.9,57.3,在籍
営業,G2,3.6,46.2,68.5,在籍
営業,G1,11.0,38.6,58.4,在籍
製造,G3,9.0,25.4,72.8,在籍
人事,G1,4.0,15.1,66.2,在籍
人事,G3,5.8,31.7,71.2,在籍
経理,G2,3.3,36.7,54.8,退職
経理,G2,11.0,30.3,67.9,在籍
経理,G2,14.2,27.4,70.3,在籍
営業,G1,2.8,23.2,85.8,在籍
営業,G1,5.4,41.5,65.7,在籍
開発,G1,1.5,3.5,72.4,在籍
製造,G3,6.5,29.4,71.9,在籍
営業,G1,8.1,60.3,69.3,在籍
人事,G2,6.9,11.0,62.9,在籍
製造,G3,7.6,22.5,63.8,退職
開発,G2,4.9,39.5,59.9,在籍
営業,G1,5.0,26.9,64.3,在籍
営業,G1,4.9,43.4,57.4,在籍
営業,G1,3.5,37.2,52.5,退職
人事,G1,3.9,27.7,77.3,退職
製造,G2,7.8,32.4,55.1,在籍
製造,G3,13.6,25.4,69.2,在籍
営業,G1,2.3,67.0,56.4,退職
開発,G2,5.0,41.3,60.7,退職
開発,G1,1.9,40.1,53.2,在籍
製造,G1,3.6,3.2,67.5,在籍
製造,G1,4.1,16.0,70.3,在籍
営業,G1,6.2,44.6,54.1,在籍
経理,G3,6.1,12.5,75.7,在籍
営業,G2,5.4,9.9,64.7,在籍
人事,G2,7.3,28.0,73.7,在籍
営業,G2,2.5,48.7,57.7,在籍
営業,G1,6.2,32.5,66.7,在籍
人事,G2,9.2,23.9,80.8,退職
営業,G1,2.5,11.6,70.3,在籍
開発,G1,0.9,43.0,53.5,退職
開発,G3,10.9,48.5,55.4,在籍
営業,G1,1.9,12.4,71.6,在籍
製造,G2,3.5,36.1,62.1,在籍
人事,G3,9.0,37.6,57.5,在籍
人事,G1,2.4,38.5,46.2,在籍
開発,G1,10.4,44.4,56.9,退職
開発,G1,3.0,45.2,61.3,在籍
営業,G1,2.7,37.7,62.9,退職
営業,G1,1.9,41.6,68.9,在籍
営業,G1,3.1,12.0,88.2,在籍
経理,G3,8.2,10.7,81.3,在籍
人事,G1,3.5,17.9,81.3,在籍
製造,G2,11.0,22.2,77.1,在籍
開発,G2,5.5,43.9,72.7,在籍
開発,G1,5.9,41.6,74.9,在籍
開発,G1,2.6,50.3,63.3,退職
開発,G3,12.1,53.8,62.7,在籍
開発,G3,9.2,31.6,65.0,退職
営業,G3,9.1,37.8,63.4,在籍
営業,G2,4.7,24.3,66.0,在籍
経理,G1,1.7,21.9,73.3,在籍
開発,G2,6.1,43.1,55.0,在籍
経理,G1,7.9,0.0,78.9,在籍
営業,G2,8.0,60.1,35.7,退職
製造,G1,7.2,28.2,80.4,在籍
営業,G2,7.0,27.0,66.3,在籍
営業,G1,3.0,53.2,58.4,在籍
営業,G1,3.1,28.2,77.2,在籍
営業,G1,1.9,33.5,65.8,在籍
経理,G1,11.1,18.6,83.8,在籍
開発,G4,18.3,61.0,46.7,在籍
製造,G5,30.2,27.2,92.8,在籍
開発,G2,6.5,41.2,69.5,退職
開発,G2,7.0,52.8,57.9,退職
開発,G3,4.9,47.6,68.7,退職
営業,G2,6.4,33.0,56.3,在籍
経理,G1,2.4,36.2,60.3,在籍
製造,G2,4.8,51.5,67.1,在籍
製造,G1,2.7,25.5,53.3,退職
開発,G1,4.3,39.3,65.8,在籍
営業,G1,2.9,33.9,67.6,在籍
経理,G1,7.9,38.4,77.9,在籍
開発,G3,8.6,34.6,53.1,退職
営業,G1,6.9,28.9,79.1,在籍
開発,G2,3.2,22.7,64.5,在籍
製造,G1,1.8,9.0,71.1,在籍
製造,G3,8.7,19.5,62.7,在籍
製造,G1,5.5,21.4,61.9,在籍
製造,G1,0.9,41.5,62.6,在籍
営業,G2,6.1,39.5,53.7,在籍
経理,G3,7.1,17.2,77.9,在籍
開発,G1,1.2,30.0,59.9,退職
製造,G1,8.0,37.1,54.6,在籍
営業,G1,1.4,44.4,54.5,退職
経理,G2,2.9,25.9,69.7,退職
営業,G1,1.5,27.1,64.1,在籍
営業,G1,2.6,44.4,59.1,在籍
開発,G1,1.8,27.1,71.6,在籍
営業,G3,11.0,39.5,71.6,在籍
営業,G1,4.5,57.0,51.4,在籍
製造,G1,3.8,24.3,60.4,在籍
開発,G3,11.7,32.7,67.4,在籍
経理,G4,11.3,33.3,69.9,在籍
開発,G2,4.0,34.4,52.8,在籍
製造,G2,6.8,8.3,69.6,在籍
開発,G1,3.4,45.7,53.0,在籍
製造,G2,5.1,35.9,61.8,在籍
製造,G1,2.1,18.6,64.6,退職
開発,G2,7.5,35.5,69.6,在籍
経理,G2,12.0,15.0,62.8,在籍
開発,G3,10.6,39.6,51.5,在籍
営業,G1,5.7,25.8,65.6,在籍
製造,G1,0.8,10.9,72.0,在籍
人事,G1,3.2,46.8,47.0,退職
営業,G3,5.1,40.3,56.8,在籍
開発,G1,1.6,44.3,55.5,在籍
人事,G1,1.3,35.7,59.4,在籍
製造,G2,14.3,32.1,69.0,在籍
経理,G3,9.8,22.7,65.8,在籍
開発,G1,7.9,41.0,73.0,退職
製造,G1,9.0,19.0,75.8,在籍
開発,G3,1.9,46.0,51.8,在籍
経理,G1,2.5,27.8,67.0,在籍
開発,G1,6.5,33.8,65.7,在籍
製造,G2,6.8,9.0,85.1,在籍
開発,G1,1.5,39.6,56.1,在籍
製造,G2,6.1,21.4,76.0,在籍
製造,G3,5.2,4.4,77.9,在籍
開発,G3,10.4,46.8,71.3,在籍
人事,G1,6.9,36.6,73.3,在籍
開発,G4,15.4,70.6,52.3,在籍
製造,G1,4.1,17.7,69.3,在籍
開発,G1,2.0,32.1,68.0,在籍
開発,G2,15.1,27.4,68.9,在籍
開発,G1,7.1,40.3,74.6,在籍
営業,G1,5.2,34.2,64.7,在籍
営業,G1,2.6,23.1,65.4,在籍
製造,G1,4.1,20.1,66.7,在籍
製造,G1,3.9,0.2,70.0,在籍
製造,G1,1.9,32.2,68.3,退職
営業,G1,0.5,23.5,61.4,在籍
開発,G1,3.8,37.6,70.5,在籍
営業,G2,9.2,17.9,63.0,在籍
製造,G4,12.7,20.4,73.6,在籍
人事,G2,10.7,24.5,78.8,在籍
営業,G3,11.1,35.1,49.4,在籍
製造,G1,2.1,27.3,81.5,在籍
営業,G2,6.6,49.4,54.5,在籍
営業,G1,8.0,40.1,63.4,在籍
営業,G2,8.3,44.2,64.9,在籍
営業,G1,5.1,47.9,63.4,在籍
製造,G2,6.0,29.9,68.4,在籍
経理,G2,10.5,25.2,77.3,在籍
営業,G1,7.8,43.1,64.8,在籍
開発,G3,8.8,53.0,70.0,在籍
製造,G1,3.7,29.1,69.9,退職
経理,G2,8.5,9.6,91.0,在籍
製造,G2,5.9,14.3,80.1,在籍
営業,G2,9.8,30.6,53.6,在籍
製造,G1,3.0,30.6,84.7,在籍
開発,G2,9.2,39.4,58.7,在籍
経理,G1,4.1,36.5,74.0,在籍
開発,G1,9.2,52.5,57.4,在籍
製造,G1,6.6,35.2,72.1,在籍
営業,G1,5.6,45.3,54.1,退職
開発,G2,4.3,28.2,71.3,在籍
人事,G1,5.2,31.3,63.6,在籍
製造,G3,3.9,18.5,82.7,在籍
開発,G2,4.3,21.5,72.9,在籍
経理,G3,7.6,24.0,76.5,在籍
人事,G1,1.0,40.6,43.8,退職
開発,G4,9.2,47.9,58.6,在籍
開発,G1,9.3,60.2,56.8,在籍
開発,G1,4.4,39.9,63.0,退職
製造,G1,6.1,48.9,65.0,在籍
開発,G1,2.4,40.0,58.0,在籍
営業,G2,7.3,33.8,65.3,退職
経理,G1,2.6,9.9,83.2,在籍
経理,G2,0.3,37.8,44.0,在籍
人事,G3,12.4,23.7,75.5,在籍
経理,G1,2.1,16.9,68.5,退職
製造,G1,5.1,36.1,56.4,在籍
製造,G1,6.3,34.7,66.8,在籍
製造,G3,7.6,37.7,72.5,在籍
開発,G1,5.5,34.0,72.1,在籍
開発,G1,6.7,37.4,62.1,在籍
営業,G1,4.3,31.3,71.8,在籍
製造,G1,1.3,30.6,71.1,在籍
営業,G1,5.3,49.1,56.8,在籍
営業,G1,8.4,36.0,59.1,在籍
製造,G1,2.3,43.7,54.2,在籍
開発,G1,6.3,47.9,64.6,在籍
営業,G3,17.5,32.6,68.2,在籍
製造,G2,5.0,32.7,56.9,在籍
人事,G2,5.2,46.4,46.1,退職
営業,G1,1.2,54.0,60.3,退職
営業,G1,2.0,45.1,54.2,在籍
開発,G1,2.7,38.3,64.1,在籍
製造,G2,8.1,21.2,80.2,退職
人事,G1,2.4,32.3,54.4,在籍
営業,G2,7.2,52.0,56.4,退職
製造,G2,2.9,28.4,64.8,在籍
営業,G1,1.2,37.0,64.6,在籍
開発,G3,8.8,41.8,71.1,在籍
経理,G1,4.0,20.4,60.0,在籍
営業,G1,7.6,30.2,71.0,退職
営業,G1,1.2,33.5,71.0,退職
開発,G1,0.4,56.9,51.1,在籍
製造,G2,5.9,21.0,69.3,在籍
経理,G1,1.9,24.6,70.7,在籍
経理,G1,5.8,14.5,75.8,在籍
営業,G1,5.9,39.9,66.2,在籍
営業,G2,5.4,48.6,61.9,退職
製造,G3,11.0,43.1,54.6,在籍
営業,G1,7.1,34.2,72.1,在籍
人事,G4,17.5,37.1,75.3,在籍
製造,G1,4.0,20.3,71.5,在籍
営業,G1,1.6,37.8,50.3,在籍
人事,G2,3.1,31.1,64.1,在籍
営業,G2,4.2,34.2,65.3,在籍
開発,G3,18.4,42.7,55.7,在籍
製造,G2,5.6,28.6,64.1,在籍
開発,G3,11.3,38.0,53.7,在籍
製造,G1,3.8,19.3,75.0,在籍
製造,G1,3.4,40.8,61.9,退職
経理,G1,1.1,53.8,41.8,退職
経理,G3,18.0,14.0,79.8,在籍
開発,G3,13.9,27.3,69.5,在籍
営業,G2,6.4,23.1,73.4,在籍
製造,G1,4.4,20.9,67.0,在籍
経理,G1,5.8,33.9,58.5,在籍
開発,G1,1.5,44.5,52.7,在籍
開発,G2,7.6,41.5,57.6,在籍
開発,G3,13.2,47.0,60.9,在籍
営業,G3,13.6,27.6,70.8,在籍
製造,G2,1.2,20.9,67.5,在籍
開発,G1,11.3,37.8,61.2,在籍
製造,G1,1.5,4.6,73.8,在籍
人事,G1,0.5,13.2,91.0,在籍
製造,G2,11.6,11.3,70.6,在籍
開発,G2,3.5,48.0,53.3,在籍
開発,G3,10.5,43.9,86.1,在籍
製造,G2,9.8,30.3,70.5,在籍
製造,G2,9.0,3.4,68.8,在籍
開発,G1,5.7,21.7,76.3,在籍
人事,G1,1.7,33.3,56.7,在籍
営業,G1,4.3,1.4,85.4,在籍
人事,G3,13.8,42.7,61.3,在籍
営業,G2,10.6,13.5,71.8,在籍
営業,G2,4.4,42.9,72.1,退職
開発,G1,4.4,28.2,70.9,在籍
営業,G1,8.4,43.5,68.2,在籍
営業,G1,6.0,67.3,52.8,在籍
営業,G2,4.6,8.6,72.2,在籍
開発,G2,7.9,47.2,63.7,在籍
製造,G2,7.7,3.7,87.7,在籍
営業,G1,3.1,36.7,63.4,退職
製造,G3,6.9,22.9,83.3,在籍
製造,G1,7.4,23.4,76.1,在籍
営業,G2,5.4,23.6,70.6,在籍
営業,G2,2.9,42.2,61.8,退職
人事,G1,4.1,10.1,75.7,在籍
製造,G1,2.4,35.7,53.3,在籍
開発,G2,7.1,35.1,63.7,退職
製造,G3,1.2,9.8,75.6,在籍
営業,G3,14.7,52.7,55.6,退職
開発,G4,12.8,42.1,65.4,退職
製造,G3,7.5,46.2,59.6,在籍
営業,G2,10.2,47.0,65.7,在籍
製造,G1,9.8,13.2,79.9,在籍
開発,G2,6.1,38.7,63.7,在籍
製造,G1,4.7,23.3,58.7,在籍
開発,G2,4.3,56.4,67.3,在籍
開発,G3,15.1,46.0,60.8,在籍
営業,G1,2.8,33.9,63.0,在籍
営業,G1,2.8,29.8,62.9,在籍
製造,G3,10.8,24.6,66.5,在籍
営業,G2,10.2,48.0,71.0,在籍
営業,G2,4.5,33.6,74.6,在籍
営業,G1,8.1,27.7,71.3,在籍
営業,G1,8.9,25.8,68.3,在籍
製造,G1,1.6,15.9,76.0,在籍
開発,G3,13.3,25.8,70.9,在籍
経理,G2,8.9,17.3,71.4,在籍
営業,G3,7.6,51.7,59.6,在籍
製造,G1,8.9,19.7,68.5,在籍
開発,G2,7.0,47.3,60.7,退職
開発,G1,5.1,10.7,76.2,在籍
人事,G1,6.1,32.3,69.9,在籍
経理,G1,1.5,22.2,63.8,在籍
人事,G4,19.1,25.5,77.6,在籍
営業,G3,5.1,37.2,56.0,在籍
営業,G4,18.9,31.3,65.3,在籍
製造,G1,6.2,0.0,75.9,在籍
営業,G1,3.4,42.1,52.0,在籍
製造,G3,13.1,27.9,77.0,在籍
